obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
1.237649961380872e+18,48.8247602534781,-8.16699942197067,19.44393,18.43291,18.1162,17.98857,17.95942,1045,301,1,98,3.5871724350798316e+18,STAR,-0.0009960067,3186,54853,201
1.2376576295314399e+18,193.394684420538,52.336221445823,22.41654,22.09867,20.53718,19.639,19.28375,2830,301,4,454,7.513333320828344e+18,GALAXY,0.5186716,6673,56419,739
1.237678877247472e+18,324.020998964279,10.0006060739194,19.49719,17.58264,16.66178,16.18781,15.85648,7777,301,5,87,4.608454095854131e+18,GALAXY,0.07772008,4093,55475,530
1.237665537076036e+18,234.965902841056,23.0319494368851,24.31149,21.9931,20.58364,19.76995,19.39575,4671,301,5,41,4.4450710635972096e+18,GALAXY,0.4716587,3948,55331,66
1.2376648176724874e+18,170.706065548786,35.6301963714632,25.6185,24.8668,21.37659,19.77067,19.26844,4504,301,1,94,5.199500146875062e+18,GALAXY,0.7200882,4618,55600,343
1.2376648176744535e+18,176.208579426447,36.3275088707725,24.95454,21.75231,20.11687,19.24445,18.71873,4504,301,1,124,5.231135295798532e+18,GALAXY,0.4913034,4646,55622,743
1.2376802774045827e+18,352.788675929063,27.4215194759498,26.33041,23.01727,21.05489,19.87767,19.32904,8103,301,5,53,7.094473818551638e+18,GALAXY,0.5679119,6301,56543,649
1.2376802757982945e+18,3.8869119635275,26.7870275638053,21.76573,19.96647,19.67051,19.03288,19.26989,8103,301,2,119,7.06638431552198e+18,STAR,-9.832673e-05,6276,56269,860
1.237664817675567e+18,179.228278365499,36.3836316631662,23.01318,20.99923,19.2339,18.58184,18.14824,4504,301,1,141,5.235660061460945e+18,GALAXY,0.3443767,4650,55648,820
1.2376637825998523e+18,29.8562987564181,-1.23234954539332,22.20865,20.2485,18.47931,17.88134,17.47988,4263,301,1,315,1.7508084951474767e+18,GALAXY,0.365529,1555,53287,124
